Baby Girl Names Registered in 2001                       A,
GOVERNMENT  SERVICES,
#,Girl  Names 
1,Fayrouz
3,Fayth
1,Faythe
1,Fazia
1,Felene
1,Felice
3,Felicia
1,Felicita
8,Felicity
1,Felisha
1,Felizya
1,Ferial
1,Fieyerra
1,Findley
8,Fiona
1,Fionah
1,Fiore
2,Fiza
1,Florence
1,Fouda
1,Frances
4,Francesca
1,Franchesca
1,Francienne
1,Francine
2,Francis
1,Frankie
1,Franziska
1,Freda
1,Frédérique
3,Freya
1,Freya-Rose
1,Freyja
2,Frieda
1,Fynn
1,Gabreilla
1,Gabrial
#,Girl  Names 
1,Gabriel
8,Gabriela
19,Gabriella
41,Gabrielle
1,Gabrièlle
1,Gaelin
1,Gaelyn
1,Gagandeep
1,Gaganjot
1,Gail
1,Galya
1,Ganessia
1,Garileigh
2,Geena
1,Gellana
1,Gelsey
1,Gemini
5,Gemma
2,Geneva
8,Genevieve
3,Geneviève
1,Genna
1,Genoa
1,Georgeana
25,Georgia
1,Georgi-Jean
1,Georgina
1,Geraldine
1,Geralynn-Neil
1,Geri-Lynn
1,Germaine
1,Gerri
1,Gertruda
1,Gertrude
1,Gesina
1,Gheeda
1,Ghieann
2,Gia
20,Gillian
1,Gilliane
9,Gina
1,Ginna
1,Giselle
1,Giulia
1,Giuliana
1,Giulianna
1,Gladys
2,Glenda
6,Gloria
1,Gloria-Genef
1,Glorianna
1,Goldie
128,Grace
1,Graceli
#,Girl  Names 
1,Gracen
2,Gracey
19,Gracie
1,Gracy
1,Gracyn
4,Grayce
1,Graysen
1,Grayson
1,Greer
1,Grier
1,Gulcin
1,Guneet
1,Gurasman
1,Gurbeen
1,Gurchet
1,Gurkeerat
1,Gurkerit
1,Gurleen
2,Gurman
1,Gurneek
2,Gurneet
1,Gurpreet
1,Gurvir
1,Gwen
1,Gwendolyn
1,Gwenyth
1,Gwyneth
1,Gwynne
1,Hadeel
1,Hadeer
1,Hadia
1,Hafsa
1,Haidyn
3,Hailee
1,Haileigh
102,Hailey
2,Hailie
1,Haillee
1,Hailley
1,Haillie
1,Hajar
4,Haleigh
64,Haley
1,Halie
2,Halima
1,Halina
1,Haliya
13,Halle
1,Halley
7,Hallie
1,Halluma
1,Hami
6,Hana
2,Hanah
#,Girl  Names 
1,Hanan
1,Haneen
1,Haneet
1,Hang
40,Hanna
186,Hannah
1,Hannah-Elizabeth
1,Hannah-Marie
1,Hannaleigh
1,Ha-Nul
1,Harisha
1,Harjeet
3,Harjot
2,Harkiran
1,Harkish
1,Harlan
3,Harlee
4,Harleen
3,Harley
1,Harman
1,Harmeen
1,Harmenpreet
1,Harmin-Joth
8,Harmony
1,Harneet
2,Harnoor
1,Harper
2,Harpreet
1,Harsna
1,Hasnaa
1,Havana
1,Havannah
1,Haven
1,Hawra
1,Hayat
1,Haydee
2,Hayden
2,Hayle
10,Haylee
50,Hayley
1,Haylie
2,Hazel
1,Healther
31,Heather
3,Heaven
2,Heba
1,Hedda
1,Heena
12,Heidi
1,Heidie
1,Heila
1,Helaina
1,Helana
1,Helbeen
#,Girl  Names 
1,Helbest
1,Heleen
8,Helen
6,Helena
1,Hend
2,Henna
1,Hermon
1,Hesalya
1,Heyam
1,Hiam
1,Hibba
1,Hien
1,Hijab
1,Hilary
3,Hillary
1,Hina
1,Hitomi
1,Ho
2,Holland
1,Hollee
1,Holley
29,Holly
1,Honey
1,Hong
1,Honor
34,Hope
1,Hope-Gloria
1,Houriah
1,Huating
3,Huda
1,Huda-Ali
1,Humdah
11,Hunter
1,Hurain
1,Husbana
1,Ibtissam
1,Idy
2,Iesha
1,Ila
1,Ilene
1,Ilianna
1,Illyana
1,Ilona
2,Ilyssa
1,Imaan
3,Iman
1,Imren
2,India
1,Indigo
2,Indyana
1,Indyanna
1,Inez
1,Inga
1,Ingrid
#,Girl  Names 
1,Inola
1,Ioana
1,Ionie
1,Iqra
7,Ireland
1,Irelynn
2,Irene
3,Iris
1,Iris-Ruby
1,Irma
1,Iry
10,Isabel
75,Isabella
37,Isabelle
1,Isalin
4,Isha
1,Ishaka
3,Isis
2,Isla
2,Isley
1,Ismay
2,Isobel
1,Isobelle
1,Israa
1,Isráa
1,Israh
2,Italia
1,Íte
1,Itillo
3,Ivana
1,Ivneet
12,Ivy
1,Izabela
6,Izabella
3,Izabelle
1,J.
1,Jaadyn
1,Jacalyn
2,Jace
1,Jacea
1,Jacelyn
4,Jacey
2,Jaci
1,Jacie
3,Jacinda
1,Jackee
1,Jackie
4,Jacklyn
1,Jacksyn
2,Jaclyn
1,Jaclynn
1,Jacoba
18,Jacqueline
6,Jacquelyn
#,Girl  Names 
1,Jacy
1,Jacynda
29,Jada
1,Jadah
1,Jada-Lynn
1,Jadan
69,Jade
1,Jadelyn
1,Jade-Lynn
22,Jaden
1,Jadenn
1,Jadeon
1,Jadin
11,Jadyn
1,Jadynn
1,Jadzia
1,Jae
1,Jaeda
2,Jaeden
1,Jaedyn
1,Jae-In
2,Jaelene
